session,turn,prompt_tokens,reusable_prefix,reusable_fraction,exact_hit,canon_hit,shared,doc_shared
14,2,3740,3660,0.9786096256684492,1,1,3000,1
14,3,4070,3990,0.9803439803439803,1,1,3000,1
14,4,4400,4320,0.9818181818181818,1,1,3000,1
14,5,4730,4650,0.9830866807610994,1,1,3000,1
14,6,5060,4980,0.9841897233201581,1,1,3000,1
14,7,5390,5310,0.9851576994434137,1,1,3000,1
15,0,3080,3000,0.974025974025974,0,0,3000,1
15,1,3410,3330,0.9765395894428153,1,1,3000,1
15,2,3740,3660,0.9786096256684492,1,1,3000,1
15,3,4070,3990,0.9803439803439803,1,1,3000,1
15,4,4400,4320,0.9818181818181818,1,1,3000,1
15,5,4730,4650,0.9830866807610994,1,1,3000,1
15,6,5060,4980,0.9841897233201581,1,1,3000,1
15,7,5390,5310,0.9851576994434137,1,1,3000,1
16,0,1580,1500,0.9493670886075949,0,0,1500,0
16,1,1910,1830,0.9581151832460733,0,1,1500,0
16,2,2240,2160,0.9642857142857143,0,1,1500,0
16,3,2570,2490,0.9688715953307393,0,1,1500,0
16,4,2900,2820,0.9724137931034482,0,1,1500,0
16,5,3230,3150,0.9752321981424149,0,1,1500,0
16,6,3560,3480,0.9775280898876404,0,1,1500,0
16,7,3890,3810,0.9794344473007712,0,1,1500,0
17,0,3080,3000,0.974025974025974,0,0,3000,1
17,1,3410,3330,0.9765395894428153,1,1,3000,1
17,2,3740,3660,0.9786096256684492,1,1,3000,1
17,3,4070,3990,0.9803439803439803,1,1,3000,1
17,4,4400,4320,0.9818181818181818,1,1,3000,1
17,5,4730,4650,0.9830866807610994,1,1,3000,1
17,6,5060,4980,0.9841897233201581,1,1,3000,1
17,7,5390,5310,0.9851576994434137,1,1,3000,1
18,0,1580,1500,0.9493670886075949,0,0,1500,0
18,1,1910,1830,0.9581151832460733,0,1,1500,0
18,2,2240,2160,0.9642857142857143,0,1,1500,0
18,3,2570,2490,0.9688715953307393,0,1,1500,0
18,4,2900,2820,0.9724137931034482,0,1,1500,0
18,5,3230,3150,0.9752321981424149,0,1,1500,0
18,6,3560,3480,0.9775280898876404,0,1,1500,0
18,7,3890,3810,0.9794344473007712,0,1,1500,0
19,0,3080,3000,0.974025974025974,0,0,3000,1
19,1,3410,3330,0.9765395894428153,1,1,3000,1
19,2,3740,3660,0.9786096256684492,1,1,3000,1
19,3,4070,3990,0.9803439803439803,1,1,3000,1
19,4,4400,4320,0.9818181818181818,1,1,3000,1
19,5,4730,4650,0.9830866807610994,1,1,3000,1
19,6,5060,4980,0.9841897233201581,1,1,3000,1
19,7,5390,5310,0.9851576994434137,1,1,3000,1
20,0,3080,3000,0.974025974025974,0,0,3000,1
20,1,3410,3330,0.9765395894428153,1,1,3000,1
20,2,3740,3660,0.9786096256684492,1,1,3000,1
20,3,4070,3990,0.9803439803439803,1,1,3000,1
20,4,4400,4320,0.9818181818181818,1,1,3000,1
20,5,4730,4650,0.9830866807610994,1,1,3000,1
20,6,5060,4980,0.9841897233201581,1,1,3000,1
20,7,5390,5310,0.9851576994434137,1,1,3000,1
21,0,3080,3000,0.974025974025974,0,0,3000,1
21,1,3410,3330,0.9765395894428153,1,1,3000,1
21,2,3740,3660,0.9786096256684492,1,1,3000,1
21,3,4070,3990,0.9803439803439803,1,1,3000,1
21,4,4400,4320,0.9818181818181818,1,1,3000,1
21,5,4730,4650,0.9830866807610994,1,1,3000,1
21,6,5060,4980,0.9841897233201581,1,1,3000,1
21,7,5390,5310,0.9851576994434137,1,1,3000,1
22,0,1580,1500,0.9493670886075949,0,0,1500,0
22,1,1910,1830,0.9581151832460733,0,1,1500,0
22,2,2240,2160,0.9642857142857143,0,1,1500,0
22,3,2570,2490,0.9688715953307393,0,1,1500,0
22,4,2900,2820,0.9724137931034482,0,1,1500,0
22,5,3230,3150,0.9752321981424149,0,1,1500,0
22,6,3560,3480,0.9775280898876404,0,1,1500,0
22,7,3890,3810,0.9794344473007712,0,1,1500,0
23,0,3080,3000,0.974025974025974,0,0,3000,1
23,1,3410,3330,0.9765395894428153,0,1,3000,1
23,2,3740,3660,0.9786096256684492,0,1,3000,1
23,3,4070,3990,0.9803439803439803,0,1,3000,1
23,4,4400,4320,0.9818181818181818,0,1,3000,1
23,5,4730,4650,0.9830866807610994,0,1,3000,1
23,6,5060,4980,0.9841897233201581,0,1,3000,1
23,7,5390,5310,0.9851576994434137,0,1,3000,1
24,0,1580,1500,0.9493670886075949,0,0,1500,0
24,1,1910,1830,0.9581151832460733,0,1,1500,0
24,2,2240,2160,0.9642857142857143,0,1,1500,0
24,3,2570,2490,0.9688715953307393,0,1,1500,0
24,4,2900,2820,0.9724137931034482,0,1,1500,0
24,5,3230,3150,0.9752321981424149,0,1,1500,0
24,6,3560,3480,0.9775280898876404,0,1,1500,0
24,7,3890,3810,0.9794344473007712,0,1,1500,0
25,0,3080,3000,0.974025974025974,0,0,3000,1
25,1,3410,3330,0.9765395894428153,1,1,3000,1
25,2,3740,3660,0.9786096256684492,1,1,3000,1
25,3,4070,3990,0.9803439803439803,1,1,3000,1
25,4,4400,4320,0.9818181818181818,1,1,3000,1
25,5,4730,4650,0.9830866807610994,1,1,3000,1
25,6,5060,4980,0.9841897233201581,1,1,3000,1
25,7,5390,5310,0.9851576994434137,1,1,3000,1
26,0,3080,3000,0.974025974025974,0,0,3000,1
26,1,3410,3330,0.9765395894428153,1,1,3000,1
26,2,3740,3660,0.9786096256684492,1,1,3000,1
26,3,4070,3990,0.9803439803439803,1,1,3000,1
26,4,4400,4320,0.9818181818181818,1,1,3000,1
26,5,4730,4650,0.9830866807610994,1,1,3000,1
26,6,5060,4980,0.9841897233201581,1,1,3000,1
26,7,5390,5310,0.9851576994434137,1,1,3000,1
27,0,3080,3000,0.974025974025974,0,0,3000,1
27,1,3410,3330,0.9765395894428153,0,1,3000,1
27,2,3740,3660,0.9786096256684492,0,1,3000,1
27,3,4070,3990,0.9803439803439803,0,1,3000,1
27,4,4400,4320,0.9818181818181818,0,1,3000,1
27,5,4730,4650,0.9830866807610994,0,1,3000,1
27,6,5060,4980,0.9841897233201581,0,1,3000,1
27,7,5390,5310,0.9851576994434137,0,1,3000,1
28,0,1580,1500,0.9493670886075949,0,0,1500,0
28,1,1910,1830,0.9581151832460733,0,1,1500,0
28,2,2240,2160,0.9642857142857143,0,1,1500,0
28,3,2570,2490,0.9688715953307393,0,1,1500,0
28,4,2900,2820,0.9724137931034482,0,1,1500,0
28,5,3230,3150,0.9752321981424149,0,1,1500,0
28,6,3560,3480,0.9775280898876404,0,1,1500,0
28,7,3890,3810,0.9794344473007712,0,1,1500,0
29,0,3080,3000,0.974025974025974,0,0,3000,1
29,1,3410,3330,0.9765395894428153,0,1,3000,1
29,2,3740,3660,0.9786096256684492,0,1,3000,1
29,3,4070,3990,0.9803439803439803,0,1,3000,1
29,4,4400,4320,0.9818181818181818,0,1,3000,1
29,5,4730,4650,0.9830866807610994,0,1,3000,1
29,6,5060,4980,0.9841897233201581,0,1,3000,1
29,7,5390,5310,0.9851576994434137,0,1,3000,1
30,0,3080,3000,0.974025974025974,0,0,3000,1
30,1,3410,3330,0.9765395894428153,0,1,3000,1
30,2,3740,3660,0.9786096256684492,0,1,3000,1
30,3,4070,3990,0.9803439803439803,0,1,3000,1
30,4,4400,4320,0.9818181818181818,0,1,3000,1
30,5,4730,4650,0.9830866807610994,0,1,3000,1
30,6,5060,4980,0.9841897233201581,0,1,3000,1
30,7,5390,5310,0.9851576994434137,0,1,3000,1
31,0,3080,3000,0.974025974025974,0,0,3000,1
31,1,3410,3330,0.9765395894428153,0,1,3000,1
31,2,3740,3660,0.9786096256684492,0,1,3000,1
31,3,4070,3990,0.9803439803439803,0,1,3000,1
31,4,4400,4320,0.9818181818181818,0,1,3000,1
31,5,4730,4650,0.9830866807610994,0,1,3000,1
31,6,5060,4980,0.9841897233201581,0,1,3000,1
31,7,5390,5310,0.9851576994434137,0,1,3000,1
32,0,3080,3000,0.974025974025974,0,0,3000,1
32,1,3410,3330,0.9765395894428153,0,1,3000,1
32,2,3740,3660,0.9786096256684492,0,1,3000,1
32,3,4070,3990,0.9803439803439803,0,1,3000,1
32,4,4400,4320,0.9818181818181818,0,1,3000,1
32,5,4730,4650,0.9830866807610994,0,1,3000,1
32,6,5060,4980,0.9841897233201581,0,1,3000,1
32,7,5390,5310,0.9851576994434137,0,1,3000,1
33,0,1580,1500,0.9493670886075949,0,0,1500,0
33,1,1910,1830,0.9581151832460733,0,1,1500,0
33,2,2240,2160,0.9642857142857143,0,1,1500,0
33,3,2570,2490,0.9688715953307393,0,1,1500,0
33,4,2900,2820,0.9724137931034482,0,1,1500,0
33,5,3230,3150,0.9752321981424149,0,1,1500,0
33,6,3560,3480,0.9775280898876404,0,1,1500,0
33,7,3890,3810,0.9794344473007712,0,1,1500,0
34,0,3080,3000,0.974025974025974,0,0,3000,1
34,1,3410,3330,0.9765395894428153,0,1,3000,1
34,2,3740,3660,0.9786096256684492,0,1,3000,1
34,3,4070,3990,0.9803439803439803,0,1,3000,1
34,4,4400,4320,0.9818181818181818,0,1,3000,1
34,5,4730,4650,0.9830866807610994,0,1,3000,1
34,6,5060,4980,0.9841897233201581,0,1,3000,1
34,7,5390,5310,0.9851576994434137,0,1,3000,1
35,0,1580,1500,0.9493670886075949,0,0,1500,0
35,1,1910,1830,0.9581151832460733,1,1,1500,0
35,2,2240,2160,0.9642857142857143,1,1,1500,0
35,3,2570,2490,0.9688715953307393,1,1,1500,0
35,4,2900,2820,0.9724137931034482,1,1,1500,0
35,5,3230,3150,0.9752321981424149,1,1,1500,0
35,6,3560,3480,0.9775280898876404,1,1,1500,0
35,7,3890,3810,0.9794344473007712,1,1,1500,0
36,0,1580,1500,0.9493670886075949,0,0,1500,0
36,1,1910,1830,0.9581151832460733,0,1,1500,0
36,2,2240,2160,0.9642857142857143,0,1,1500,0
36,3,2570,2490,0.9688715953307393,0,1,1500,0
36,4,2900,2820,0.9724137931034482,0,1,1500,0
36,5,3230,3150,0.9752321981424149,0,1,1500,0
36,6,3560,3480,0.9775280898876404,0,1,1500,0
36,7,3890,3810,0.9794344473007712,0,1,1500,0
37,0,3080,3000,0.974025974025974,0,0,3000,1
37,1,3410,3330,0.9765395894428153,0,1,3000,1
37,2,3740,3660,0.9786096256684492,0,1,3000,1
37,3,4070,3990,0.9803439803439803,0,1,3000,1
37,4,4400,4320,0.9818181818181818,0,1,3000,1
37,5,4730,4650,0.9830866807610994,0,1,3000,1
37,6,5060,4980,0.9841897233201581,0,1,3000,1
37,7,5390,5310,0.9851576994434137,0,1,3000,1
38,0,1580,1500,0.9493670886075949,0,0,1500,0
38,1,1910,1830,0.9581151832460733,1,1,1500,0
38,2,2240,2160,0.9642857142857143,1,1,1500,0
38,3,2570,2490,0.9688715953307393,1,1,1500,0
38,4,2900,2820,0.9724137931034482,1,1,1500,0
38,5,3230,3150,0.9752321981424149,1,1,1500,0
38,6,3560,3480,0.9775280898876404,1,1,1500,0
38,7,3890,3810,0.9794344473007712,1,1,1500,0
39,0,3080,3000,0.974025974025974,0,0,3000,1
39,1,3410,3330,0.9765395894428153,1,1,3000,1
39,2,3740,3660,0.9786096256684492,1,1,3000,1
39,3,4070,3990,0.9803439803439803,1,1,3000,1
39,4,4400,4320,0.9818181818181818,1,1,3000,1
39,5,4730,4650,0.9830866807610994,1,1,3000,1
39,6,5060,4980,0.9841897233201581,1,1,3000,1
39,7,5390,5310,0.9851576994434137,1,1,3000,1
